Role,Year,Openings
Data Science,2020,1200
Data Science,2021,1800
Data Science,2022,2600
Data Science,2023,3500
Web Designing,2020,1500
Web Designing,2021,1700
Web Designing,2022,2100
Web Designing,2023,2400
Python Developer,2020,2000
Python Developer,2021,2600
Python Developer,2022,3200
Python Developer,2023,4200
DevOps Engineer,2020,900
DevOps Engineer,2021,1400
DevOps Engineer,2022,2200
DevOps Engineer,2023,3000
Java Developer,2020,1300
Java Developer,2021,1600
Java Developer,2022,2100
Java Developer,2023,2600
